						
#TOWN	도적마을					
182	96	ALL				
						
						
#FIELD	돈황던젼	donwhang				
1	128	ALL				
						
						
#FIELD	진시황릉456	jinsi				
2	128	ALL				
3	128	ALL				
4	128	ALL				
#FIELD	진시황릉3	jinsi				
5	128	ALL				
#FIELD	진시황릉12	jinsi				
6	128	ALL				
7	128	ALL				
						
						
#TOWN	장안					
167	96	RECT	0	1600	1920	1600
167	97	ALL				
167	98	ALL				
167	99	RECT	0	220	1920	220
168	96	RECT	0	1600	1920	1600
168	97	ALL				
168	98	ALL				
168	99	RECT	0	220	1920	220
169	96	RECT	0	1600	1720	1600
169	97	ALL				
169	98	ALL				
169	99	RECT	0	220	1720	0
						
						
#FIELD	장안필드					
156	90	ALL				
156	91	ALL				
156	92	ALL				
156	93	ALL				
156	94	ALL				
157	90	ALL				
157	91	ALL				
157	92	ALL				
157	93	ALL				
157	94	ALL				
157	95	ALL				
157	96	ALL				
158	89	ALL				
158	90	ALL				
158	91	ALL				
158	92	ALL				
158	93	ALL				
158	94	ALL				
158	95	ALL				
158	96	ALL				
158	97	ALL				
159	89	ALL				
159	90	ALL				
159	91	ALL				
159	92	ALL				
159	93	ALL				
159	94	ALL				
159	95	ALL				
159	96	ALL				
159	97	ALL				
160	90	ALL				
160	91	ALL				
160	92	ALL				
160	93	ALL				
160	94	ALL				
160	95	ALL				
160	96	ALL				
160	97	ALL				
161	90	ALL				
161	91	ALL				
161	92	ALL				
161	93	ALL				
161	94	ALL				
161	95	ALL				
161	96	ALL				
161	97	ALL				
162	90	ALL				
162	91	ALL				
162	92	ALL				
162	93	ALL				
162	94	ALL				
162	95	ALL				
162	96	ALL				
162	97	ALL				
162	98	ALL				
163	90	ALL				
163	91	ALL				
163	92	ALL				
163	93	ALL				
163	94	ALL				
163	95	ALL				
163	96	ALL				
163	97	ALL				
163	98	ALL				
163	99	ALL				
164	90	ALL				
164	91	ALL				
164	92	ALL				
164	93	ALL				
164	94	ALL				
164	95	ALL				
164	96	ALL				
164	97	ALL				
164	98	ALL				
164	99	ALL				
165	91	ALL				
165	92	ALL				
165	93	ALL				
165	94	ALL				
165	95	ALL				
165	96	ALL				
165	97	ALL				
165	98	ALL				
165	99	ALL				
165	100	ALL				
165	101	ALL				
166	91	ALL				
166	92	ALL				
166	93	ALL				
166	94	ALL				
166	95	ALL				
166	96	ALL				
166	97	ALL				
166	98	ALL				
166	99	ALL				
166	100	ALL				
166	101	ALL				
167	91	ALL				
167	92	ALL				
167	93	ALL				
167	94	ALL				
167	95	ALL				
167	96	ALL				
167	99	ALL				
167	100	ALL				
167	101	ALL				
168	91	ALL				
168	92	ALL				
168	93	ALL				
168	94	ALL				
168	95	ALL				
168	96	ALL				
168	99	ALL				
168	100	ALL				
168	101	ALL				
169	91	ALL				
169	92	ALL				
169	93	ALL				
169	94	ALL				
169	95	ALL				
169	96	ALL				
169	97	RECT	1720	0	1720	1920
169	98	RECT	1720	0	1720	1920
169	99	ALL				
169	100	ALL				
169	101	ALL				
170	91	ALL				
170	92	ALL				
170	93	ALL				
170	94	ALL				
170	95	ALL				
170	96	ALL				
170	97	ALL				
170	98	ALL				
170	99	ALL				
170	100	ALL				
171	91	ALL				
171	92	ALL				
171	93	ALL				
171	94	ALL				
171	95	ALL				
171	96	ALL				
171	97	ALL				
171	98	ALL				
171	99	ALL				
171	100	ALL				
171	101	ALL				
172	91	ALL				
172	92	ALL				
172	93	ALL				
172	94	ALL				
172	95	ALL				
172	96	ALL				
172	97	ALL				
172	98	ALL				
172	99	ALL				
172	100	ALL				
172	101	ALL				
172	102	ALL				
173	92	ALL				
173	93	ALL				
173	94	ALL				
173	95	ALL				
173	96	ALL				
173	97	ALL				
173	98	ALL				
173	99	ALL				
173	100	ALL				
173	101	ALL				
174	100	ALL				
						
						
#TOWN	요새_장안					
69	69	ALL				
69	70	ALL				
70	69	ALL				
70	70	ALL				
71	69	ALL				
71	70	ALL				
72	69	ALL				
72	70	ALL				
73	69	ALL				
73	70	ALL				
						
						
#FIELD	요새_장안필드					
69	67	ALL				
69	68	ALL				
70	67	ALL				
70	68	ALL				
71	67	ALL				
71	68	ALL				
72	67	ALL				
72	68	ALL				
73	67	ALL				
73	68	ALL				
						
						
#TOWN	돈황					
152	102	ALL				
152	103	ALL				
153	102	ALL				
153	103	ALL				
153	104	RECT	0	640	1920	640
						
						
#FIELD	돈황필드					
143	89	ALL				
143	90	ALL				
143	91	ALL				
143	92	ALL				
143	93	ALL				
143	94	ALL				
143	95	ALL				
143	96	ALL				
143	97	ALL				
