#section	characterInfo									
//ResourceFileID (info)	ResourceTypeName	Size	Ride Type	ride	Die Bsr	Die Effect	DamageBone	DamagePos	BloodType	Dead Effect
//기획쪽에서 만든 캐릭터 ID	핸들문서(사운드)에 있는 캐릭터 ID			탈것에 대한 설정	죽을때 바뀔 BSR	죽을때 나올 효과	데미지가 나올 위치(본)	본으로부터의 포지션(위치)	피 타입	죽을 때 효과

//Character_China										
CHAR_CH_MAN_ADVENTURER	PCM_ADVENTURER	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_CH_MAN_BOGY	PCM_BOGY	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_CH_MAN_FIGHTER	PCM_FIGHTER	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_CH_MAN_MERCHANT	PCM_MERCHANT	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_CH_MAN_MONK	PCM_MONK	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_CH_MAN_MONKEY	PCM_MONKEY	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_CH_MAN_NECROMANCER	PCM_NECROMANCER	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_CH_MAN_NOBLEBOY	PCM_NOBLEBOY	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_CH_MAN_PERFORMER	PCM_PERFORMER	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_CH_MAN_PRIEST	PCM_PRIEST	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_CH_MAN_SCHOLAR	PCM_SCHOLAR	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_CH_MAN_TATTOO	PCM_TATTOO	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_CH_MAN_WARRIOR	PCM_WARRIOR	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_CH_WOMAN_ADVENTURER	PCF_ADVENTURER	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_CH_WOMAN_ASSASSIN	PCF_ASSASSIN	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_CH_WOMAN_BOGY	PCF_BOGY	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_CH_WOMAN_FIGHTER	PCF_FIGHTER	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_CH_WOMAN_FOX	PCF_FOX	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_CH_WOMAN_KANGSI	PCF_KANGSI	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_CH_WOMAN_KISAENG	PCF_KISAENG	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_CH_WOMAN_MERCHANT	PCF_MERCHANT	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_CH_WOMAN_NECROMENCERB	PCF_NECROMANCERB	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_CH_WOMAN_NECROMENCERW	PCF_NECROMANCERW	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_CH_WOMAN_NOBLEGIRL	PCF_NOBLEGIRL	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_CH_WOMAN_SCHOLAR	PCF_SCHOLAR	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_CH_WOMAN_WARRIOR	PCF_WARRIOR	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none

//Character_Europe	유럽 캐릭터									
CHAR_EU_MAN_NOBLE	PCM_NOBLE	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_EU_MAN_EXORCIST	PCM_EXORCIST	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_EU_MAN_NECROMENCER	PCM_NECROMENCER	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_EU_MAN_MERCHANT	PCM_MERCHANT	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_EU_MAN_PRIEST	PCM_PRIEST	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_EU_MAN_KNIGHT	PCM_KNIGHT	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_EU_MAN_WARRIOR	PCM_WARRIOR	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_EU_MAN_GLADIATOR	PCM_GLADIATOR	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_EU_MAN_BARBARIAN	PCM_BARBARIAN	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_EU_MAN_ADVENTURER	PCM_ADVENTURER	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_EU_MAN_ANGEL	PCM_ANGEL	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_EU_MAN_DEVIL	PCM_DEVIL	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_EU_MAN_WEREWOLF	PCM_WEREWOLF	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_EU_WOMAN_NOBLE	PCF_NOBLE	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_EU_WOMAN_WITCH	PCF_WITCH	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_EU_WOMAN_SUMMONER	PCF_SUMMONER	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_EU_WOMAN_MERCHANT	PCF_MERCHANT	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
